"Primary Field","Title","Work type","Year","[publisher]","[location]","Page no","Issue","Volume","Source link","[commentaries]","[work roles]","Complete","[news items]"
"Scottish Satirical Verse: An Anthology (1980)","Scottish Satirical Verse: An Anthology","Anthology","1980","['rec1nkWhXxnhMDgEv']","['recjcB616elkT059D', 'recTAlcF5bAeJO9oo']","","","","","","['reclT44gqIuZK5Bjp']","True","['rectg82EaW7Lib0G1']"
" ()","","","","","","","","","","","","",""
"Civil Peace (1971)","Civil Peace","","1971","","","","","","","","['reciZmwFTeI0nsYmX']","True","['reclXDmtxYMqHFnWT', 'recWBe48IP6iJTC5M', 'recUxkdJT3rADYJ45']"
"The HouseBoy  (1956)","The HouseBoy ","Single Author|Full Length","1956","['recxs7nr1XEK0p7Jk']","","","","","","","['recGxZqbQP6ReESY7']","True","['recIrdnJshsoZywqZ']"
"Le Devoir de Violence  (1956)","Le Devoir de Violence ","Single Author|Full Length","1956","['recusHIMurW6VPON7']","","","","","","","['recICZXVpsmenRpGK']","True","['recIrdnJshsoZywqZ']"
"Moon Tiger (1987)","Moon Tiger","Single Author|Full Length","1987","['recVaqaHVYw32pcoV']","","","","","","","['rec29SkPmg5Hc8xuS']","True","['recsWjpkmNVnEVaM3']"
"Chatterton (1987)","Chatterton","Single Author|Full Length","1987","['recTfxn9NvrvEhNEe']","['rechox6aq8lnZHEIe']","","","","","","['recIPphMUAJMnJmS1']","True","['recsWjpkmNVnEVaM3']"
"Circles of Deceit (1987)","Circles of Deceit","Single Author|Full Length","1987","['recvif9HH9BANeqDt']","['recR6YHhrfthZo5tS']","","","","","","['recCnw9ye0oGQ9tgS']","True","['recsWjpkmNVnEVaM3']"
"The Colour of Blood (1987)","The Colour of Blood","Single Author|Full Length","1987","['recXxVdJnHU3pvIEC']","['recTAlcF5bAeJO9oo']","","","","","","['recoCtAWwewOVeQFC']","True","['recsWjpkmNVnEVaM3']"
"The Book and the Brotherhood (1987)","The Book and the Brotherhood","Single Author|Full Length","1987","['reckanGgoZFeNEAni']","['recTAlcF5bAeJO9oo']","","","","","","['rectsjJepk4IwxkLG']","True","['recsWjpkmNVnEVaM3']"
"America, Their America (1964)","America, Their America","Single Author|Full Length","1964","['recVaqaHVYw32pcoV']","['recTAlcF5bAeJO9oo']","","","","","","['recabC8Pjyg5UUp34']","True","['recPR8QVoJr7ddHbi']"
"Disgrace (1999)","Disgrace","Single Author|Full Length","1999","['recSL9OOvDH6PQ7vV']","['recTAlcF5bAeJO9oo']","","","","","","['recxFUsEy3yhoBWhx']","True","['reci1BFtvUa3ukoOZ']"
"Youth (2002)","Youth","Single Author|Full Length","2002","['recSL9OOvDH6PQ7vV']","","","","","","","['recDWeo0y95ivPdja']","True","['reci1BFtvUa3ukoOZ']"
"Boyhood: Scenes From Provincial Life  (1997)","Boyhood: Scenes From Provincial Life ","Single Author|Full Length","1997","['recBG3JIgQVOHaFvb']","","","","","","","['recFE2PveuQEiUhx2']","True","['reci1BFtvUa3ukoOZ']"
"Life and Times of Michael K (1983)","Life and Times of Michael K","Single Author|Full Length","1983","['recSL9OOvDH6PQ7vV']","['recTAlcF5bAeJO9oo']","","","","","","['recwFxBGiXUWcIpWN']","True","['reci1BFtvUa3ukoOZ', 'rectGwJjD0d9ThSmm', 'recRIIwCymb17cl26', 'recpiTTy4VUEhA1LQ', 'recbr5uUt0BYT15qy', 'rectQ2IEpJphvLTtS', 'recPdxLhv0bS9DSTB', 'recJNXXFBzwWRqWT4', 'reciQXF8qQOGnL0vl']"
"A Shadow of Gulls (1977)","A Shadow of Gulls","Single Author|Full Length","1977","['recQWjo5pWPkXUVc6']","['recZ61lsBuFpSCKu8']","","","","","","['recaqeRU6E50DjKaN']","True","['recFuhjtdFfhScgJS']"
"A Sparrow Falls (1977)","A Sparrow Falls","Single Author|Full Length","1977","['recxs7nr1XEK0p7Jk']","","","","","","","['rec0aV843qGP6rUp3']","True","['recFuhjtdFfhScgJS']"
"In the Heart of the Country (1977)","In the Heart of the Country","Single Author|Full Length","1977","['recSL9OOvDH6PQ7vV']","","","","","","","['recaAqFP3USdcCVRW']","True","['recFuhjtdFfhScgJS']"
"The Extra Man (1977)","The Extra Man","Single Author|Full Length","1977","['rec4PElYeBjToevrO']","","","","","","","['recYZLFZQUAnD6f41']","True","['recFuhjtdFfhScgJS']"
"Waiting for the Barbarians (1980)","Waiting for the Barbarians","Single Author|Full Length","1980","['recSL9OOvDH6PQ7vV']","['recjcB616elkT059D']","","","","","","['reciUjDxh8zw9ysI3']","","['recw6ElUIrfXAoQld', 'reciQXF8qQOGnL0vl']"
"Dusklands (1983)","Dusklands","Single Author|Full Length","1983","['recSL9OOvDH6PQ7vV']","['recjcB616elkT059D']","","","","","","['recqburO7yzVTR4zG']","True","['rec5M7CRiyMcrKQbF', 'recoKDS1rjnEP0MFh', 'recsXWMrTl8FzD1lM']"
"Rates of Exchange (1983)","Rates of Exchange","Single Author|Full Length","1983","['recSL9OOvDH6PQ7vV']","['recjcB616elkT059D']","","","","","","['rec1o5qSZFVwTQPtf']","True","['rectGwJjD0d9ThSmm', 'recoKDS1rjnEP0MFh']"
"Flying to Nowhere (1983)","Flying to Nowhere","Single Author|Full Length","1983","['recvVMippnqKSGtYv']","['recTAlcF5bAeJO9oo']","","","","","","['recYq6MlmK2skK50F']","True","['rectGwJjD0d9ThSmm', 'recoKDS1rjnEP0MFh', 'recoBfNsqihwxQ0ig']"
"The Illusionist (1983)","The Illusionist","Single Author|Full Length","1983","['recfTnlZqCKTtrwCe']","","","","","","","['rec68aWUO8SViAWXc']","True","['rectGwJjD0d9ThSmm', 'recoKDS1rjnEP0MFh']"
"Shame (1983)","Shame","Single Author|Full Length","1983","['recXxVdJnHU3pvIEC']","['recjcB616elkT059D']","","","","","","['recrpx85sevqsB6kv']","True","['rectGwJjD0d9ThSmm', 'recoKDS1rjnEP0MFh', 'recoBfNsqihwxQ0ig', 'recpiTTy4VUEhA1LQ', 'recbr5uUt0BYT15qy', 'rectQ2IEpJphvLTtS', 'recPdxLhv0bS9DSTB', 'recJNXXFBzwWRqWT4']"
"Waterland (1983)","Waterland","Single Author|Full Length","1983","['recxs7nr1XEK0p7Jk']","['recTAlcF5bAeJO9oo']","","","","","","['rechVsRerSuvLqBQL']","True","['rectGwJjD0d9ThSmm', 'recoKDS1rjnEP0MFh', 'recoBfNsqihwxQ0ig', 'recpiTTy4VUEhA1LQ', 'recbr5uUt0BYT15qy']"
"A Hot Country (1983)","A Hot Country","Single Author|Full Length","1983","['recfTnlZqCKTtrwCe']","['recjcB616elkT059D']","","","","","","['rec4m2jWvIsLp2VP6']","True","['recRIIwCymb17cl26']"
"The Enigma of Arrival (1988)","The Enigma of Arrival","Single Author|Full Length","1988","['reckanGgoZFeNEAni']","","","","","","","['recWeIh3xVjXsQjPO']","True","['rec7F4DJZrePEpLxD']"
"The Penguin Book of Modern British Short Stories (1988)","The Penguin Book of Modern British Short Stories","Anthology","1988","['reckanGgoZFeNEAni']","['recjcB616elkT059D']","","","","","","['reccb9P7P0pn0k3BM']","True","['rec7F4DJZrePEpLxD']"
"The Blunderer (1988)","The Blunderer","Single Author|Full Length","1988","['reckanGgoZFeNEAni']","['recjcB616elkT059D']","","","","","","['recvFntqfU16Rx4If']","True","['rec7F4DJZrePEpLxD']"
"Foe (1987)","Foe","Single Author|Full Length","1987","['reckanGgoZFeNEAni']","","","","","","","['recw3oZ966bT7MANt']","True","['rec7F4DJZrePEpLxD', 'reciQXF8qQOGnL0vl']"
"Age of Iron (1990)","Age of Iron","Single Author|Full Length","1990","['recSL9OOvDH6PQ7vV']","['recjcB616elkT059D']","","","","","","['recabtEpNoVbQTmnW']","True","['reciQXF8qQOGnL0vl', 'reccqYr0AwyjBXpTT']"
"A British Picture (1990)","A British Picture","Single Author|Full Length","1990","['recPrJMk1ErHDb8Tk']","['recTAlcF5bAeJO9oo']","","","","","","['recCHDMuApCnsokd9']","True","['recICwTL7ZD5VLHmd']"
" Victorian Things (1990)"," Victorian Things","Single Author|Full Length","1990","['reckanGgoZFeNEAni']","['recDF8hLx8yVLng52']","","","","","","['recKBdORn8FxN3CJP']","True","['recICwTL7ZD5VLHmd']"
"The Brideshead Generation (1990)","The Brideshead Generation","Single Author|Full Length","1990","['recEzJUESbrePx4Kd']","","","","","","","['recVGS2Hvgw2X2crB']","True","['recICwTL7ZD5VLHmd']"
"The Labyrinth of Exile (1990)","The Labyrinth of Exile","Single Author|Full Length","1990","['recr7JzLQcLOPHU2r']","","","","","","","['recM55VJpjRZP4m2n']","True","['recICwTL7ZD5VLHmd']"
"Galileo: Heretic (1900)","Galileo: Heretic","Single Author|Selected Works","1900","['reckanGgoZFeNEAni']","['recTAlcF5bAeJO9oo']","","","","","","['rectzzL7JjB2gqHWK']","True","['recICwTL7ZD5VLHmd']"
"The Memoir of Marco Parenti (1990)","The Memoir of Marco Parenti","Single Author|Full Length","1990","['recxs7nr1XEK0p7Jk']","['recDF8hLx8yVLng52']","","","","","","['recHJQGZpWWDAunlQ']","True","['recICwTL7ZD5VLHmd']"
"The Farther Shore: A Natural History of Perception (1990)","The Farther Shore: A Natural History of Perception","Single Author|Full Length","1990","['recEzJUESbrePx4Kd']","['recDF8hLx8yVLng52']","","","","","","['recHjnKVwWJZFaYBl']","True","['recICwTL7ZD5VLHmd']"
"Tocqueville: A Biography  (1900)","Tocqueville: A Biography ","Single Author|Full Length","1900","['recsZke0mJwbblEGb']","","","","","","","['recWCPsJ4rfTMe8LS']","True","['recICwTL7ZD5VLHmd']"
"Friend of My Youth (1990)","Friend of My Youth","Anthology","1990","['recA0EwqcVJzbFPav']","","","","","","","['reckKefjA5uwOOYOF']","True","['reccqYr0AwyjBXpTT']"
" Petrarch and His World (2002)"," Petrarch and His World","Single Author|Full Length","2002","['recCVZE5Wg6hquj7a']","['recZ61lsBuFpSCKu8']","","","","","","['recpgg7fE3fo8D73I']","True","['reccqYr0AwyjBXpTT']"
"Shared Lives (1992)","Shared Lives","Single Author|Full Length","1992","['recaqXAJXU7A7D25U']","['recTAlcF5bAeJO9oo']","","","","","","['recuvhW5bhTCD696X']","True","['recpTp2BOTpPOkZ9w']"
" ()","","","","","","","","","","","","",""
"Skipping Without Ropes (1998)","Skipping Without Ropes","Single Author|Full Length","1998","['recYQDXRa2WsSnoTL']","['recjcB616elkT059D']","","","","","","['recKxZzaeWKgPFMly']","True","['recDvipG2rcu3PxKM']"
"New Poems 1961. P. E. N. Anthology (1961)","New Poems 1961. P. E. N. Anthology","Anthology","1961","['recePapKPouQwFSJw']","['recjcB616elkT059D']","","","","","","['recSk1l67JNXjuqqQ', 'recZSpuduKvpujYOl', 'recoCIocT04qr3hWl']","True","['recRHzX2Ecm48iNzt']"
"An African Elegy (1997)","An African Elegy","Single Author|Full Length","1997","['reckNjILiZzGvKsUt']","","84","","","","","","True","['rec8WXLthChCrHaVC']"
"An Embarrassment of Tyrannies  (1997)","An Embarrassment of Tyrannies ","","1997","['rec2x2cvmqfgeoPEx']","","","","","","","","True","['recdzOmpvxN2onmwH']"
