Id,unique_id,Article title,Document type,Content type,Article Date,Publication,Source page no,Source link,Gale ID,Source access date,Archive,Excerpt,Permissions
What the young are reading  (1996-06-09),apdp.cite.000351,What the young are reading ,Critical Article,Newspaper,1996-06-09,The Sunday Times,p 5[S8],https://link-gale-com.libproxy.unl.edu/apps/doc/FP1803147470/STHA?u=linc74325&sid=bookmark-STHA&xid=9c16aa3f,GALE|FP1803147470,2021-10-01,,"""An obvious key to literary immortality is to continue to attract new generation of readers."" ",
World Service (1996-07-07),apdp.cite.000352,World Service,Radio Schedule,Newspaper,1996-07-07,The Sunday Times,p. 52[S8],https://link-gale-com.libproxy.unl.edu/apps/doc/FP1802271040/STHA?u=linc74325&sid=bookmark-STHA&xid=2b4d5d19,GALE|FP1802271040,2021-10-01,"""The Sunday Times Historical Archive,""","""8:15 Off The Shelf: Things Fall Apart, by Chinua Achebe. An exiled warrior returns to his village.""",
World Service (1996-11-10),apdp.cite.000353,World Service,Radio Schedule,Newspaper,1996-11-10,The Sunday Times,p. 49[S8],https://link-gale-com.libproxy.unl.edu/apps/doc/FP1803300366/STHA?u=linc74325&sid=bookmark-STHA&xid=ffa5587d,GALE|FP1803300366,2021-10-01,"""The Sunday Times Historical Archive,""","""Today 7:15 Off The Shelf: African Stories. Civil Peace, by Chinua Achebe.""",
Radio (1997-03-09),apdp.cite.000354,Radio,Radio Schedule,Newspaper,1997-03-09,The Sunday Times,p. 50[S9],https://link-gale-com.libproxy.unl.edu/apps/doc/FP1803445608/STHA?u=linc74325&sid=bookmark-STHA&xid=28ad2286,GALE|FP1803445608,2021-10-01,"""The Sunday Times Historical Archive,""","""Today 9 March""",
Why aren't all schools ready for everyone? (1998-07-26),apdp.cite.000355,Why aren't all schools ready for everyone?,Critical Article,Newspaper,1998-07-26,The Sunday Times,p. 5[S3],https://link-gale-com.libproxy.unl.edu/apps/doc/FP1802963815/STHA?u=linc74325&sid=bookmark-STHA&xid=1e8b830b,GALE|FP1802963815,2021-10-01,"""The Sunday Times Historical Archive,""","""It was nearly struck nearly two years that there was no millennium project the English language and English literature, surely two of this country's greatest contributions to the world in the past 1000's years.""",
Radio (1998-10-25),apdp.cite.000356,Radio,Radio Schedule,Newspaper,1998-10-25,The Sunday Times,p. 39[S10],https://link-gale-com.libproxy.unl.edu/apps/doc/FP1803341923/STHA?u=linc74325&sid=bookmark-STHA&xid=78142ca1,GALE|FP1803341923,2021-10-01,"""The Sunday Times Historical Archive,""","""The Classic Serial: Things fall apart, by Chinua Achebe.""",
This time it's personal (2000-12-17),apdp.cite.000357,This time it's personal,Critical Article,Newspaper,2000-12-17,The Sunday Times,p. 47[S5],https://link-gale-com.libproxy.unl.edu/apps/doc/FP1803383311/STHA?u=linc74325&sid=bookmark-STHA&xid=c90f0c2e,GALE|FP1803383311,2021-10-01,"""The Sunday Times Historical Archive,""","""When John le Le Carré brought Smiley in from the cold in 1991, he announced that he intended to turn from espionage to modern problems.""",
"A global perspective at Tate Modern? No, just an international disaster, says Waldemar Januszczak (2001-02-04)",apdp.cite.000358,"A global perspective at Tate Modern? No, just an international disaster, says Waldemar Januszczak",Critical Article,Newspaper,2001-02-04,The Sunday Times,p. 14[S8],https://link-gale-com.libproxy.unl.edu/apps/doc/FP1802992649/STHA?u=linc74325&sid=bookmark-STHA&xid=8aef7299,GALE|FP1802992649,2021-10-02,"""The Sunday Times Historical Archive,""","""Oh dear. The first exhibition at the Tate modern is a disaster.""",
Sky One (2003-03-02),apdp.cite.000359,Sky One,Radio Schedule,Newspaper,2003-03-02,The Sunday Times,p. 70[S10],https://link-gale-com.libproxy.unl.edu/apps/doc/FP1803410721/STHA?u=linc74325&sid=bookmark-STHA&xid=25d1f6d0,GALE|FP1803410721,2021-10-02,"""The Sunday Times Historical Archive,""","""BBC4...7:30 Chinua Achebe""",
"Satellite, cable and digital (2003-03-02)",apdp.cite.000360,"Satellite, cable and digital",Radio Schedule,Newspaper,2003-03-02,The Sunday Times,p. 74[S10],https://link-gale-com.libproxy.unl.edu/apps/doc/FP1803410729/STHA?u=linc74325&sid=bookmark-STHA&xid=58a7ea92,GALE|FP1803410729,2021-10-02,"""The Sunday Times Historical Archive,""","""12:25 Chinua Achebe profile""",
Sky One (2003-03-09),apdp.cite.000361,Sky One,Radio Schedule,Newspaper,2003-03-09,The Sunday Times,p. 66[S9],https://link-gale-com.libproxy.unl.edu/apps/doc/FP1802457671/STHA?u=linc74325&sid=bookmark-STHA&xid=5654e7d8,GALE|FP1802457671,2021-10-02,"""The Sunday Times Historical Archive,""",BBC4 7:00 pm Chinua Achebe: Profile,
A nation in trauma (2004-03-28),apdp.cite.000362,A nation in trauma,Critical Article,Newspaper,2004-03-28,The Sunday Times,p. 47[S9],https://link-gale-com.libproxy.unl.edu/apps/doc/FP1803642800/STHA?u=linc74325&sid=bookmark-STHA&xid=9095fced,GALE|FP1803642800,2021-10-02,"""The Sunday Times Historical Archive,""","""If there is one thing certain to feel me with dismay it is the words ""heart of darkness"" on the cover of a book about Africa""",
Reading between the lines (2004-10-17),apdp.cite.000363,Reading between the lines,Critical Article,Newspaper,2004-10-17,The Sunday Times,p. 50[S9],https://link-gale-com.libproxy.unl.edu/apps/doc/FP1803527871/STHA?u=linc74325&sid=bookmark-STHA&xid=d8caae95,GALE|FP1803527871,2021-10-02,"""The Sunday Times Historical Archive,""","""People have an extraordinary fascination with the lives of writers"" ",
Main Channels Monday 9 June (2008-06-08),apdp.cite.000364,Main Channels Monday 9 June,Radio Schedule,Newspaper,2008-06-08,The Sunday Times,p. 57,https://link-gale-com.libproxy.unl.edu/apps/doc/IKUDTW457119895/STHA?u=linc74325&sid=bookmark-STHA&xid=8d68699c,GALE|IKUDTW457119895,2021-10-02,The Listener Historical Archive,"""Book at Bedtime: Things Fall Apart, by Chinua Achebe""",
Thursday 19 February (2009-02-15),apdp.cite.000365,Thursday 19 February,Advertisement,Newspaper,2009-02-15,The Sunday Times,p. 68,https://link-gale-com.libproxy.unl.edu/apps/doc/NBFVNQ928953036/STHA?u=linc74325&sid=bookmark-STHA&xid=519fbdf7,GALE|NBFVNQ928953036,2021-10-02,"""The Sunday Times Historical Archive,""","""8:00 Chinua Achebe - A Hero Returns""",
Main Channels Friday 27 March (2009-03-22),apdp.cite.000366,Main Channels Friday 27 March,Radio Schedule,Newspaper,2009-03-22,The Sunday Times,p. 72,https://link-gale-com.libproxy.unl.edu/apps/doc/NLYCEL732495844/STHA?u=linc74325&sid=bookmark-STHA&xid=24614150,GALE|NLYCEL732495844,2021-10-06,"""The Sunday Times Historical Archive,""","""2.06 Chinua Achebe - A hero returns""",
Main Channels Wednesday 25 March (2009-03-22),apdp.cite.000367,Main Channels Wednesday 25 March,Radio Schedule,Newspaper,2009-03-22,The Sunday Times,p. 64,https://link-gale-com.libproxy.unl.edu/apps/doc/XXPCXG433884641/STHA?u=linc74325&sid=bookmark-STHA&xid=f6f6566b,GALE|XXPCXG433884641,2021-10-06,"""The Sunday Times Historical Archive,""","""9:06 Chinua Achebe - A Hero Returns""",
Critics' Choice (2009-05-10),apdp.cite.000368,Critics' Choice,Radio Schedule,Newspaper,2009-05-10,The Sunday Times,p. 52,https://link-gale-com.libproxy.unl.edu/apps/doc/FEELQZ280444720/STHA?u=linc74325&sid=bookmark-STHA&xid=2ab9f37d,GALE|FEELQZ280444720,2021-10-06,"""The Sunday Times Historical Archive,""","""The South Bank Show, which (in a sprawling two-parter) draws on the many parallels between Adichie and Achebe, the multi-award-winning author of Things Fall Apart."" ",
He's Going down with the Flagship (2009-05-10),apdp.cite.000369,He's Going down with the Flagship,Critical Article,Newspaper,2009-05-10,The Sunday Times,p. 5,https://link-gale-com.libproxy.unl.edu/apps/doc/PBPQXR272205071/STHA?u=linc74325&sid=bookmark-STHA&xid=ab13272d,GALE|PBPQXR272205071,2021-10-06,"""The Sunday Times Historical Archive,""","""(The South Bank Show revisited"" is how he prefers to see it, and with an archive including profiles of Lord Oliver, John Cleese, David Lean, and Paul McCartney, why not?).",
Sunday 10 May (2009-05-10),apdp.cite.000370,Sunday 10 May,Radio Schedule,Newspaper,2009-05-10,The Sunday Times,p. 52,https://link-gale-com.libproxy.unl.edu/apps/doc/VNFHCI599529751/STHA?u=linc74325&sid=bookmark-STHA&xid=b26333b3,GALE|VNFHCI599529751,2021-10-06,"""The Sunday Times Historical Archive,""","""The South Bank Show. The first of two shows profiling the writers Chinua Achebe and Chimamanda Ngozi Adichie""",
Sunday 17 May (2009-05-17),apdp.cite.000371,Sunday 17 May,Radio Schedule,Newspaper,2009-05-17,The Sunday Times,p. 60,https://link-gale-com.libproxy.unl.edu/apps/doc/CKQDEK962630281/STHA?u=linc74325&sid=bookmark-STHA&xid=602aa81d,GALE|CKQDEK962630281,2021-10-06,"""The Sunday Times Historical Archive,""","""10:15 The South Bank Show Melvyn Bragg profiles the Nigerian writers Chimamanda Ngozi Adichie and Chinua Achebe (2/2)""",
Rhymes and Punishment (2009-08-23),apdp.cite.000372,Rhymes and Punishment,Critical Article,Newspaper,2009-08-23,The Sunday Times,p. 24-25,https://link-gale-com.libproxy.unl.edu/apps/doc/NVIGTU594248095/STHA?u=linc74325&sid=bookmark-STHA&xid=d31199bc,GALE|NVIGTU594248095,2021-10-06,"""The Sunday Times Historical Archive,""","""The title of her new album is taken from one of the landmarks of Nigerian literature, a novel of the same name by Chinua Achebe.""",
This Week (2010-01-24),apdp.cite.000373,This Week,Radio Schedule,Newspaper,2010-01-24,The Sunday Times,Front Matter,https://link-gale-com.libproxy.unl.edu/apps/doc/BHYKXY051243875/STHA?u=linc74325&sid=bookmark-STHA&xid=52e258cd,GALE|BHYKXY051243875,2021-10-06,"""The Sunday Times Historical Archive,""","""8-9 INTERVIEW The great Nigerian writer Chinua Achebe makes Bryan Appleyard Shiver""",
The Lord of Misrule (2010-01-24),apdp.cite.000374,The Lord of Misrule,Critical Article,Newspaper,2010-01-24,The Sunday Times,p. 8,https://link-gale-com.libproxy.unl.edu/apps/doc/RFOJXX537148573/STHA?u=linc74325&sid=bookmark-STHA&xid=36cc91cb,GALE|RFOJXX537148573,2021-10-06,"""The Sunday Times Historical Archive,""","""Chinua Achebe, the father of African literature, won't back down. As long as there's woolly western or Nigerian corruption to expose, you can count on him.""",
The Novel: Rewound and Remixed (2010-07-04),apdp.cite.000375,The Novel: Rewound and Remixed,Critical Article,Newspaper,2010-07-04,The Sunday Times,p. 20,https://link-gale-com.libproxy.unl.edu/apps/doc/ZCQFHX756318466/STHA?u=linc74325&sid=bookmark-STHA&xid=35a73c9b,GALE|ZCQFHX756318466,2021-10-06,"""The Sunday Times Historical Archive,""","""This year alone, Chinua Achebe, Jonathan Safran Foer, Siri Huftsvedt and Rupert Thomson have published nonfiction debut""",
War on His Doorstep (2012-09-30),apdp.cite.000376,War on His Doorstep,Critical Article,Newspaper,2012-09-30,The Sunday Times,p. 40-41,https://link-gale-com.libproxy.unl.edu/apps/doc/XMQYCA296020298/STHA?u=linc74325&sid=bookmark-STHA&xid=8dd69139,GALE|XMQYCA296020298,2021-10-06,"""The Sunday Times Historical Archive,""","""The novelist and poet Chinua Achebe, himself an Igbo, and at the time of the war himself already acclaimed as the author of Things Fall Apart, undertook many international diplomatic missions on behalf of Biafra""",
Obituaries (2013-03-24),apdp.cite.000377,Obituaries,Obituary,Newspaper,2013-03-24,The Sunday Times,p. 8-9,https://link-gale-com.libproxy.unl.edu/apps/doc/AJSHHV775289918/STHA?u=linc74325&sid=bookmark-STHA&xid=95ef75b8,GALE|AJSHHV775289918,2021-10-06,"""The Sunday Times Historical Archive,""","""Chinua Achebe, who has died at age 82, was the Nigerian journalist, essayist and poet, considered by many to be the father of African literature.""",
Pick of the Paperbacks (2013-06-30),apdp.cite.000378,Pick of the Paperbacks,Advertisement,Newspaper,2013-06-30,The Sunday Times,p. 40,https://link-gale-com.libproxy.unl.edu/apps/doc/TENBWG096846037/STHA?u=linc74325&sid=bookmark-STHA&xid=fcf4e942,GALE|TENBWG096846037,2021-10-06,"""The Sunday Times Historical Archive,""","""THERE WAS A COUNTRY A Personal History of Biafra by Chinua Achebe"" ",
100 Books to Love (2013-10-06),apdp.cite.000379,100 Books to Love,Critical Article,Newspaper,2013-10-06,The Sunday Times, - ,https://link-gale-com.libproxy.unl.edu/apps/doc/AHIOOX048924915/STHA?u=linc74325&sid=bookmark-STHA&xid=c4e80182,GALE|AHIOOX048924915,2021-10-06,"""The Sunday Times Historical Archive,""","""Things Fall Apart Chinua Achebe)",
'Gory' Gatsby Is Too Violent for US Students (2014-04-27),apdp.cite.000380,'Gory' Gatsby Is Too Violent for US Students,News Report,Newspaper,2014-04-27,The Sunday Times,p. 24,https://link-gale-com.libproxy.unl.edu/apps/doc/XFZBCX279088978/STHA?u=linc74325&sid=bookmark-STHA&xid=3300d78b,GALE|XFZBCX279088978,2021-10-06,"""The Sunday Times Historical Archive,""","""It gave an example of Things Fall Apart by Chinua Achebe, a celebrated Nigerian author""",
Aiming High (2005-10-04),apdp.cite.000381,Aiming High,Book Review,Newspaper,2005-10-04,The Sunday Times,p. 46,https://link-gale-com.libproxy.unl.edu/apps/doc/IPMSKQ585094138/STHA?u=linc74325&sid=bookmark-STHA&xid=e2068c6b,GALE|IPMSKQ585094138,2021-10-06,"""The Sunday Times Historical Archive,""","""In 1996, in a small Nigerian town, four brothers, aged 9 to 15, defy their absent father by secretly fishing in a polluted, forbidden river."" ",
Monday 16 November (2015-11-15),apdp.cite.000382,Monday 16 November,Radio Schedule,Newspaper,2015-11-15,The Sunday Times,p. 48,https://link-gale-com.libproxy.unl.edu/apps/doc/OYDJUR032641738/STHA?u=linc74325&sid=bookmark-STHA&xid=1a9ca9d6,GALE|OYDJUR032641738,2021-10-06,The Times Digital Archive,"""1:30 Chinua Achebe's Lament""",
